name,tags
The Beast Inside,"Horror,Adventure,Action,Survival Horror,Multiplayer,Singleplayer,First-Person,Indie,Survival,Story Rich,Psychological Horror,Violent,Atmospheric,Gore,Walking Simulator,Exploration,Open World,Realistic,Great Soundtrack,Co-op,+"
Europa Universalis IV: Domination,"Strategy,Simulation,Grand Strategy,Historical,Sexual Content,Alternate History,Early Access,LGBTQ+,Memes,+"
Honkai Impact 3rd,"Anime,Action,RPG,Adventure,3D Fighter,JRPG,Action RPG,Third Person,3D Platformer,3D Vision,Exploration,Colorful,Top-Down,Drama,Story Rich,Post-apocalyptic,Artificial Intelligence,Lore-Rich,Mechs,Alternate History,+"
Brewpub Simulator,"Simulation,Immersive Sim,3D,First-Person,Cooking,Realistic,America,Crafting,Economy,Management,Indie,Modern,Resource Management,Singleplayer,Life Sim,Time Management,Atmospheric,+"
The Riftbreaker,"Base Building,Tower Defense,Survival,Strategy,Hack and Slash,Crafting,Resource Management,Sci-fi,Building,Action RPG,Adventure,Exploration,RPG,Isometric,Simulation,Sandbox,Loot,Action,Atmospheric,Mechs,+"
Crusader Kings III: Legacy of Persia,"Strategy,RPG,Simulation,+"
Ghost Exile,"Horror,Online Co-Op,Multiplayer,Co-op,Psychological Horror,Action,Perma Death,Choices Matter,First-Person,Early Access,Atmospheric,Indie,PvE,3D,Team-Based,Singleplayer,VR,+"
Ghost Watchers,"Horror,Co-op,Survival Horror,Multiplayer,Demons,Adventure,Puzzle,First-Person,Action-Adventure,Cinematic,Dark,Realistic,Detective,Online Co-Op,PvE,Team-Based,Nonlinear,Singleplayer,Early Access,VR,+"
Mist Legacy,"Free to Play,MMORPG,Turn-Based Combat,Fantasy,Crafting,Massively Multiplayer,Story Rich,RPG,Open World,Character Customization,Base Building,Resource Management,Inventory Management,PvP,PvE,Top-Down,Stylized,CRPG,Tactical RPG,Exploration,+"
Necromunda: Hired Gun,"Action,Adventure,Warhammer 40K,Shooter,FPS,Gore,First-Person,Singleplayer,Violent,Action-Adventure,Games Workshop,Combat,Dog,Character Customization,Female Protagonist,Looter Shooter,Cyberpunk,Open World,Nudity,Multiplayer,+"
Warhammer: Vermintide 2 - Winds of Magic,"Action,Gore,Violent,Co-op,FPS,Online Co-Op,Multiplayer,Hack and Slash,First-Person,Singleplayer,Games Workshop,Atmospheric,Dark Fantasy,Action RPG,Replay Value,PvE,Moddable,Fantasy,Adventure,Indie,+"
Shakes and Fidget,"Free to Play,RPG,Massively Multiplayer,Casual,Multiplayer,Adventure,Strategy,Clicker,MMORPG,Character Customization,Fantasy,Indie,Comedy,Medieval,Singleplayer,Funny,Classic,Dark Humor,Story Rich,Cult Classic,+"
Liftoff®: Micro Drones,"Action,Simulation,Racing,Sports,eSports,3D,First-Person,Third Person,Early Access,Controller,Relaxing,Physics,Multiplayer,Singleplayer,+"
Clanfolk,"Strategy,Simulation,RTS,City Builder,Base Building,Building,Management,Resource Management,Survival,Moddable,Economy,Sandbox,Open World,2D,Singleplayer,Medieval,Replay Value,Tactical,Automation,Early Access,+"
Assetto Corsa Competizione,"Racing,Automobile Sim,Simulation,Multiplayer,Driving,VR,Sports,Realistic,Singleplayer,Controller,Early Access,eSports,Open World,First-Person,Competitive,Atmospheric,Online Co-Op,Difficult,Moddable,+"
SMITE®,"Free to Play,MOBA,Multiplayer,Anime,Action,Third Person,Mythology,MMORPG,Team-Based,Nostalgia,Competitive,PvP,Strategy,Co-op,Massively Multiplayer,Open World,eSports,RPG,Adventure,Casual,+"
Warhammer Combat Cards,"Strategy,Card Game,Card Battler,Warhammer 40K,2D,Sci-fi,Free to Play,Turn-Based Combat,Deckbuilding,PvE,PvP,Asynchronous Multiplayer,Multiplayer,Singleplayer,Games Workshop,+"
"Ranch Simulator - Build, Farm, Hunt","Early Access,Simulation,Multiplayer,Online Co-Op,Open World,Farming Sim,Farming,Job Simulator,Co-op,Realistic,Hunting,Sandbox,Singleplayer,Destruction,Management,Trading,Economy,Immersive Sim,Relaxing,Indie,+"
Big Farm Story,"Singleplayer,Life Sim,Farming,Local Co-Op,Story Rich,Choose Your Own Adventure,Dog,Farming Sim,RPG,Narration,Nature,Relaxing,Simulation,Crafting,Cartoony,Adventure,Cute,Casual,Cooking,Co-op,+"
Counter-Strike: Source,"Shooter,Action,FPS,Multiplayer,Team-Based,First-Person,Tactical,Competitive,PvP,eSports,Military,War,Strategy,Moddable,Singleplayer,Difficult,Atmospheric,Survival,Simulation,Sandbox,+"
Halls of Torment,"Early Access,Bullet Hell,Dark Fantasy,Action,RPG,Roguelike,Action RPG,Arcade,2D Fighter,Hack and Slash,Arena Shooter,2.5D,2D,Isometric,Pixel Graphics,Atmospheric,Top-Down,Dark,Demons,Fantasy,+"
Gunfire Reborn - Artisan and Magician,"Action,Indie,Adventure,RPG,+"
Undertale,"Great Soundtrack,Story Rich,Choices Matter,Multiple Endings,Pixel Graphics,Funny,RPG,Singleplayer,Indie,Comedy,2D,Replay Value,Bullet Hell,Cute,Memes,Retro,Dark,Psychological Horror,Dating Sim,Horror,+"
Punch Club,"Management,Time Management,Boxing,Pixel Graphics,Beat 'em up,RPG,2D Fighter,Fighting,Sports,Arcade,Simulation,Story Rich,Choices Matter,2D,Funny,Retro,Cartoony,Action,Atmospheric,1990's,+"
Darkest Dungeon® II,"Turn-Based Tactics,Dark Fantasy,Roguelite,Dungeon Crawler,Lovecraftian,Singleplayer,Perma Death,CRPG,Story Rich,2D,Hand-drawn,Turn-Based,Roguelike,Procedural Generation,Gothic,Party-Based RPG,Turn-Based Strategy,Turn-Based Combat,RPG,Stylized,+"
Euro Truck Simulator 2 - Going East!,"Simulation,Driving,Open World,Realistic,Multiplayer,Indie,Singleplayer,Free to Play,Adventure,Sandbox,Moddable,Relaxing,Action,Exploration,TrackIR,First-Person,Economy,Management,Controller,+"
Gas Station Simulator,"Simulation,Economy,Building,Indie,Singleplayer,Multiplayer,Base Building,Realistic,First-Person,Relaxing,Open World,Management,Crafting,Casual,Funny,Design & Illustration,Family Friendly,Co-op,Memes,Destruction,+"
Wreckfest,"Racing,Destruction,Automobile Sim,Simulation,Driving,Multiplayer,Physics,Action,Indie,Sports,Singleplayer,Realistic,Funny,Early Access,Arcade,Sandbox,Third Person,Open World,Co-op,Atmospheric,+"
Neverwinter,"Free to Play,MMORPG,RPG,Massively Multiplayer,Adventure,Multiplayer,Fantasy,Action,Open World,Character Customization,Co-op,Dungeons & Dragons,PvP,Dragons,Action RPG,PvE,Third Person,Hack and Slash,Atmospheric,Zombies,+"
