name,tags
Big Ambitions,"Early Access,Management,Capitalism,Simulation,Economy,Life Sim,Sandbox,Time Management,Singleplayer,Immersive Sim,Inventory Management,3D,Third Person,Resource Management,Top-Down,RPG,Open World,Modern,Stylized,CRPG,+"
X4: Kingdom End,"Action,Simulation,Space,Sandbox,Exploration,Sci-fi,Singleplayer,Trading,Economy,Management,Space Sim,Strategy,4X,+"
Going Medieval,"Early Access,City Builder,Medieval,Colony Sim,Strategy,Simulation,Building,Survival,Base Building,Management,Crafting,Sandbox,RPG,Open World,Resource Management,RTS,Singleplayer,3D,Procedural Generation,Stylized,+"
Slime Rancher,"Cute,Exploration,Adventure,Singleplayer,Open World,First-Person,Colorful,Funny,Sandbox,Simulation,Casual,Management,Fantasy,Indie,Family Friendly,Great Soundtrack,Female Protagonist,Early Access,Action,FPS,+"
Risk of Rain 2: Survivors of the Void,"Action,Indie,Roguelike,Great Soundtrack,Co-op,Action Roguelike,Multiplayer,Third-Person Shooter,Looter Shooter,Survival,Difficult,Singleplayer,Sci-fi,+"
Frostpunk: The Last Autumn,"Strategy,Simulation,City Builder,Survival,Steampunk,+"
My Time At Portia,"RPG,Life Sim,Open World,Farming Sim,Crafting,Simulation,Casual,Adventure,Singleplayer,Agriculture,Building,Sandbox,Indie,Relaxing,Mining,Exploration,Survival,Cartoony,Post-apocalyptic,Female Protagonist,+"
Cross Tails,"Simulation,Strategy RPG,Fantasy,JRPG,Turn-Based Strategy,Singleplayer,Turn-Based Tactics,Adventure,RPG,Stylized,Strategy,Top-Down,+"
"Warhammer 40,000: Gladius - Relics of War","Strategy,Turn-Based Strategy,Warhammer 40K,4X,Turn-Based,Hex Grid,Sci-fi,Turn-Based Tactics,Multiplayer,Wargame,Singleplayer,Tactical,Turn-Based Combat,War,Grand Strategy,Co-op,Replay Value,Great Soundtrack,Military,Games Workshop,+"
"Warhammer 40,000: Battlesector","Strategy,Warhammer 40K,Turn-Based Tactics,Turn-Based Strategy,3D,Sci-fi,Isometric,Tactical,Turn-Based Combat,PvP,Combat,Singleplayer,Asynchronous Multiplayer,Multiplayer,Violent,War,Turn-Based,Space,Replay Value,Games Workshop,+"
Arma 3 Contact,"Simulation,Strategy,Action,Military,Aliens,Sci-fi,FPS,+"
Vampire Survivors: Tides of the Foscari,"Casual,RPG,Action,Indie,Bullet Hell,Singleplayer,Female Protagonist,Anime,Funny,+"
Dead Cells: Return to Castlevania,"Action,Indie,Roguelike,Metroidvania,Roguelite,+"
Might & Magic: Clash of Heroes - Definitive Edition,"Strategy,RPG,Puzzle,Turn-Based Strategy,Match 3,Singleplayer,Multiplayer,Casual,Fantasy,Tactical,Adventure,2D,Local Multiplayer,Female Protagonist,Magic,Board Game,Turn-Based Tactics,PvP,Online Co-Op,Family Friendly,+"
Euro Truck Simulator 2 - Vive la France !,"Simulation,Driving,Open World,Realistic,Indie,Multiplayer,Singleplayer,Relaxing,Free to Play,Adventure,Moddable,Action,First-Person,TrackIR,Family Friendly,Online Co-Op,Great Soundtrack,Exploration,Casual,+"
Deep Rock Galactic - Supporter II Upgrade,"Action,Co-op,+"
Avorion,"Exploration,Sandbox,Building,Space Sim,Flight,Choose Your Own Adventure,PvE,Open World,3D,Third Person,Space,Sci-fi,Simulation,Economy,Voxel,Spaceships,Management,Trading,Vehicular Combat,Action RPG,+"
Dead Cells: The Queen and the Sea,"Action,Indie,Roguelike,Roguelite,Pixel Graphics,Metroidvania,Action Roguelike,+"
War Thunder,"Free to Play,Vehicular Combat,Combat,VR,World War II,Flight,War,Military,Tanks,Naval Combat,Modern,Simulation,Cold War,Massively Multiplayer,Action,Third-Person Shooter,Shooter,Third Person,Realistic,Historical,+"
RPG Maker MV,"RPGMaker,Game Development,RPG,Anime,GameMaker,Design & Illustration,Web Publishing,JRPG,Software,2D,Singleplayer,Action RPG,Pixel Graphics,Education,Sexual Content,Multiplayer,Nudity,MMORPG,Sandbox,+"
The Long Drive,"Automobile Sim,Open World,Driving,Multiplayer,Survival,Post-apocalyptic,Exploration,First-Person,Singleplayer,Adventure,Simulation,Horror,Early Access,Indie,Realistic,Sexual Content,Action,Racing,Shooter,FPS,+"
Caliber,"Multiplayer,Co-op,Shooter,Third-Person Shooter,PvE,PvP,Action,Tactical,Team-Based,Third Person,Character Customization,3D,eSports,Gun Customization,Class-Based,Massively Multiplayer,Realistic,Sniper,Atmospheric,Thriller,+"
Stellaris: Galactic Paragons,"Strategy,Simulation,Space,Grand Strategy,RTS,+"
Rebel Inc: Escalation,"Strategy,Simulation,Casual,Political Sim,Indie,Military,Political,War,Management,Tactical,Diplomacy,Singleplayer,Realistic,Real-Time with Pause,RTS,Addictive,Replay Value,Sandbox,Great Soundtrack,Economy,+"
The Long Dark,"Survival,Open World Survival Craft,Open World,Exploration,Atmospheric,First-Person,Singleplayer,Adventure,Crafting,Sandbox,Simulation,Post-apocalyptic,Indie,Walking Simulator,Survival Horror,Strategy,Difficult,Action,Early Access,Horror,+"
The Surge 2,"Souls-like,RPG,Action,Open World,Violent,Sci-fi,Difficult,Singleplayer,Third Person,Cyberpunk,Character Customization,Multiplayer,Gore,Mechs,Hack and Slash,Action RPG,Female Protagonist,Robots,Nudity,Co-op,+"
Crosshair X,"Action,Utilities,Shooter,Software,FPS,Survival,+"
Hotline Miami,"Great Soundtrack,Violent,Action,Indie,Top-Down,Pixel Graphics,1980s,Fast-Paced,Gore,Retro,Psychedelic,Difficult,Singleplayer,Surreal,Shooter,2D,Top-Down Shooter,Atmospheric,Addictive,Music,+"
The Henry Stickmin Collection,"Funny,Multiple Endings,Choose Your Own Adventure,Memes,Comedy,Classic,Singleplayer,Choices Matter,Point & Click,2D,Epic,Hand-drawn,Family Friendly,Adventure,Indie,Action,Interactive Fiction,Casual,Parody,Old School,+"
Solasta: Crown of the Magister,"Co-op Campaign,Isometric,Multiplayer,RPG,Character Customization,Co-op,Choices Matter,Fantasy,Story Rich,CRPG,Class-Based,Singleplayer,Dungeons & Dragons,Stealth,PvE,Adventure,Party-Based RPG,Team-Based,Combat,Strategy RPG,+"
SCARLET NEXUS,"Action,Anime,RPG,Adventure,JRPG,Action RPG,Sci-fi,Action-Adventure,Combat,Character Action Game,Open World,Fighting,Interactive Fiction,Fantasy,Futuristic,Character Customization,Strategy RPG,Singleplayer,CRPG,Hack and Slash,+"
Mindustry,"Base Building,Resource Management,Tower Defense,Strategy,Automation,Multiplayer,Sandbox,Building,Co-op,2D,Pixel Graphics,Online Co-Op,RTS,Singleplayer,PvE,Indie,PvP,Survival,Management,Action,+"
Voidtrain,"Open World Survival Craft,Survival,Multiplayer,Co-op,Open World,Base Building,Crafting,Adventure,Online Co-Op,First-Person,Exploration,Building,Atmospheric,Sandbox,Singleplayer,Action,Simulation,Early Access,Indie,Trains,+"
The Infected,"Open World Survival Craft,Survival,Base Building,Open World,Building,Realistic,Sandbox,Exploration,City Builder,Action,Simulation,Horror,Mining,FPS,Survival Horror,Singleplayer,3D,First-Person,Crafting,Early Access,+"
Dead Cells: Fatal Falls,"Action,Indie,Roguelike,Pixel Graphics,Souls-like,2D Platformer,Metroidvania,Funny,Difficult,+"
Noita,"Physics,Difficult,Roguelike,Pixel Graphics,Dungeon Crawler,Indie,Open World,2D,Perma Death,Sandbox,Action,Action Roguelike,RPG,Roguelite,2D Platformer,Gun Customization,Action-Adventure,Mythology,Dark Humor,Crafting,+"
Half-Life: Alyx,"VR,FPS,Story Rich,Horror,Female Protagonist,Shooter,First-Person,Singleplayer,Action,Sci-fi,Zombies,Atmospheric,Beautiful,Aliens,Adventure,Futuristic,Psychological Horror,Memes,Great Soundtrack,Gore,+"
Deadside,"Survival,Open World,Multiplayer,Open World Survival Craft,Massively Multiplayer,Base Building,Action,Post-apocalyptic,Crafting,Adventure,Shooter,PvP,FPS,Realistic,Early Access,Singleplayer,First-Person,Indie,Violent,Gore,+"
The Binding of Isaac: Afterbirth+,"Indie,Action Roguelike,Difficult,Replay Value,Adventure,Action,Pixel Graphics,Moddable,Singleplayer,Roguelike,Great Soundtrack,2D,Dungeon Crawler,Local Co-Op,Dark,Gore,Roguelite,Atmospheric,Horror,Twin Stick Shooter,+"
Unturned,"Free to Play,Survival,Zombies,Multiplayer,Open World,Co-op,Crafting,Sandbox,Adventure,Shooter,First-Person,Post-apocalyptic,Looter Shooter,Action,FPS,Singleplayer,Massively Multiplayer,Atmospheric,Indie,Casual,+"
Yokai Art: Night Parade of One Hundred Demons,"Roguelite,Tower Defense,Sexual Content,Strategy,Real Time Tactics,Singleplayer,Casual,Roguelike,Tactical,RTS,Deckbuilding,Puzzle,Wargame,2D,Indie,Cartoon,Cute,Demons,Fantasy,Survival,+"
My Singing Monsters,"Simulation,Creature Collector,Casual,Farming Sim,Colony Sim,Cartoony,Cute,Collectathon,Colorful,2.5D,Family Friendly,Free to Play,Building,Dragons,Dinosaurs,Relaxing,Nature,Horror,Resource Management,PvE,+"
Subnautica: Below Zero,"Open World Survival Craft,Survival,Underwater,Open World,Singleplayer,Exploration,Horror,Base Building,Adventure,Crafting,First-Person,Survival Horror,Aliens,Sci-fi,Multiplayer,Atmospheric,Story Rich,Early Access,Great Soundtrack,Sandbox,+"
Frostpunk: The Rifts,"Simulation,Strategy,City Builder,Survival,Steampunk,+"
Pizza Tower,"Great Soundtrack,2D Platformer,Fast-Paced,Cartoony,Indie,Comedy,Platformer,Singleplayer,Funny,Action,Pixel Graphics,2D,Psychological Horror,Epic,Colorful,Difficult,Retro,1990's,Horror,Adventure,+"
Ravenfield,"FPS,War,Singleplayer,Shooter,Action,Military,First-Person,Sandbox,Early Access,Funny,Team-Based,Tactical,Strategy,Indie,Physics,Simulation,Moddable,Realistic,Atmospheric,Adventure,+"
Trainz Railroad Simulator 2022,"Simulation,Trains,Level Editor,Multiplayer,Sandbox,Driving,Open World,Realistic,Transportation,Building,Relaxing,Physics,Historical,Tutorial,Singleplayer,3D,Third Person,Moddable,Resource Management,Co-op,+"
Granny Remake,"Horror,Survival Horror,Atmospheric,Stealth,Zombies,Action,Indie,Psychological Horror,Female Protagonist,First-Person,Sandbox,Singleplayer,Survival,Thriller,Dark,Multiple Endings,Exploration,PvE,Realistic,Loot,+"
PICO PARK,"Multiplayer,Online Co-Op,Puzzle Platformer,Casual,Cute,Co-op,Local Multiplayer,Local Co-Op,Platformer,Action,2D,Pixel Graphics,Indie,Funny,Horror,Retro,Puzzle,Party Game,Difficult,Souls-like,+"
RUSSIAPHOBIA,"Action,Memes,Indie,Massively Multiplayer,Adventure,Comedy,RPG,Simulation,Horror,Funny,Strategy,Relaxing,Story Rich,Family Friendly,Singleplayer,Political Sim,Open World,Stylized,Idler,Action-Adventure,+"
Frostpunk: On The Edge,"Strategy,Simulation,City Builder,Survival,Steampunk,+"
Kingdom Two Crowns,"Base Building,Building,Tower Defense,Strategy,Medieval,City Builder,Action RTS,Stylized,Singleplayer,Minimalist,Fantasy,Dark Fantasy,Controller,Pixel Graphics,Local Multiplayer,Simulation,Survival,Colony Sim,Adventure,Co-op,+"
ONE PIECE: PIRATE WARRIORS 4,"Anime,Hack and Slash,Beat 'em up,Fighting,Pirates,Action,Split Screen,PvP,Arcade,Multiplayer,Co-op,Adventure,RPG,Local Co-Op,Comedy,Online Co-Op,Musou,Controller,Singleplayer,Open World,+"
A Dance of Fire and Ice,"Rhythm,Music,Difficult,Indie,Great Soundtrack,Singleplayer,Level Editor,2D,Action,Psychological Horror,Casual,Games Workshop,Atmospheric,Souls-like,Horror,Multiplayer,Co-op,+"
Lakeburg Legacies,"Management,Strategy,Medieval,Dating Sim,Procedural Generation,Resource Management,RPG,LGBTQ+,2D,Choices Matter,Drama,Singleplayer,Cute,Funny,Romance,Family Friendly,Simulation,Comedy,Life Sim,+"
Five Nights at Freddy's: Security Breach,"Horror,Survival Horror,Robots,Singleplayer,Stealth,Multiple Endings,First-Person,Exploration,3D,Action,Adventure,Indie,Artificial Intelligence,Story Rich,Thriller,Action-Adventure,Colorful,Family Friendly,Cartoony,Atmospheric,+"
SnowRunner - Season 9: Renew & Rebuild,"Adventure,Simulation,Action,+"
Assetto Corsa,"Racing,Automobile Sim,Simulation,Driving,Multiplayer,Realistic,VR,Sports,Moddable,Controller,Open World,Physics,Singleplayer,First-Person,Indie,Replay Value,Action,3D Vision,TrackIR,Artificial Intelligence,+"
Bus World,"Automobile Sim,Simulation,Indie,Racing,Adventure,Early Access,Driving,Atmospheric,Singleplayer,Realistic,Open World,Casual,Sports,Sandbox,Exploration,Moddable,Difficult,Audio Production,Education,Relaxing,+"
Hacknet - Labyrinths,"Indie,Simulation,Hacking,Great Soundtrack,Programming,+"
Demonologist,"Early Access,Horror,Multiplayer,Online Co-Op,Psychological Horror,Co-op,First-Person,Investigation,Surreal,Dark,Demons,Mystery,Detective,Indie,Cinematic,Thriller,3D,Action,Tactical,Lovecraftian,+"
GROUND BRANCH,"Tactical,Realistic,Military,FPS,Shooter,Simulation,Multiplayer,Singleplayer,Action,Co-op,First-Person,Gun Customization,Indie,Early Access,Online Co-Op,War,Team-Based,Strategy,Atmospheric,Sandbox,+"
Flatout 3: Chaos & Destruction,"Psychological Horror,Combat Racing,Racing,Automobile Sim,Horror,Destruction,Multiplayer,Violent,Vehicular Combat,Memes,Singleplayer,Hentai,Illuminati,NSFW,Gore,Comedy,Sexual Content,Action,Driving,Survival Horror,+"
Plague Inc: The Cure,"Simulation,Strategy,Casual,Indie,Medical Sim,Singleplayer,Management,Post-apocalyptic,+"
Deceit,"PvP,Horror,Multiplayer,Social Deduction,Free to Play,Choices Matter,FPS,Shooter,First-Person,Strategy,Psychological Horror,Funny,Action,Zombies,Psychological,Mystery,Atmospheric,Survival,Survival Horror,Co-op,+"
Battle Brothers,"Tactical RPG,Turn-Based Combat,Strategy,Medieval,RPG,Open World,Sandbox,Turn-Based Strategy,Replay Value,Procedural Generation,Roguelite,Perma Death,Difficult,Turn-Based,Tactical,Turn-Based Tactics,Fantasy,Character Customization,2D,CRPG,+"
RPG Maker MZ,"RPG,Game Development,RPGMaker,Anime,JRPG,2D,Party-Based RPG,Top-Down,Singleplayer,Design & Illustration,Web Publishing,Software,Education,Pixel Graphics,Fantasy,Story Rich,Magic,MMORPG,+"
Clone Drone in the Danger Zone,"Robots,Action,3D Fighter,Swordplay,Fighting,Multiplayer,Indie,Funny,Singleplayer,Voxel,Co-op,Third Person,Pixel Graphics,Online Co-Op,Roguelike,Futuristic,Difficult,Comedy,Survival,Dark Humor,+"
Outer Wilds,"Exploration,Space,Mystery,Story Rich,Adventure,Atmospheric,Great Soundtrack,Puzzle,Open World,Singleplayer,Sci-fi,Indie,First-Person,Horror,Beautiful,Epic,Psychological Horror,Simulation,3D,Action,+"
SCUM,"Survival,Open World Survival Craft,Multiplayer,Open World,Zombies,Massively Multiplayer,Nudity,Action,Early Access,Adventure,Realistic,Crafting,Singleplayer,FPS,Violent,PvP,Gore,Third Person,Indie,RPG,+"
Last Epoch,"Action RPG,Hack and Slash,RPG,Loot,Isometric,Action,Early Access,Adventure,Indie,Multiplayer,Gore,Dungeon Crawler,Violent,Singleplayer,Top-Down,Character Customization,Fantasy,Co-op,Time Travel,Magic,+"
Expansion - Hearts of Iron IV: By Blood Alone,"Strategy,Simulation,World War II,Grand Strategy,Alternate History,Nudity,Historical,Military,War,Multiplayer,Memes,Survival,Female Protagonist,Gore,+"
Men of War: Assault Squad 2,"Strategy,World War II,War,Simulation,RTS,Action,Tactical,Military,Multiplayer,Real Time Tactics,Realistic,Tanks,Historical,Co-op,Singleplayer,Destruction,Atmospheric,Difficult,Classic,Adventure,+"
Soulstone Survivors,"Early Access,Action Roguelike,Action RPG,Bullet Hell,Roguelite,Top-Down,Arcade,Procedural Generation,Action,Roguelike,Score Attack,Colorful,Controller,Dark Fantasy,Twin Stick Shooter,RPG,Singleplayer,Crafting,Character Customization,Hack and Slash,+"
Root,"Board Game,Strategy,Tabletop,War,Wargame,Cute,Indie,Simulation,PvP,Turn-Based Strategy,Singleplayer,Touch-Friendly,Asynchronous Multiplayer,Multiplayer,Card Game,Early Access,Puzzle,Solitaire,Top-Down,Cartoony,+"
Shadows of Doubt,"Early Access,Detective,Immersive Sim,Sandbox,Noir,Voxel,Stealth,Procedural Generation,Puzzle,First-Person,Action,Open World,Singleplayer,Cyberpunk,RPG,Adventure,Indie,Action RPG,Pixel Graphics,Atmospheric,+"
BONELAB,"VR,Physics,Sandbox,Action,Shooter,FPS,First-Person,Action-Adventure,Violent,Underground,Experimental,Psychological,Combat,Puzzle,Dark,Indie,Story Rich,Female Protagonist,Singleplayer,Atmospheric,+"
Forts - Moonshot,"Strategy,Action,+"
Sun Haven,"Farming Sim,Pixel Graphics,Multiplayer,RPG,Life Sim,Character Customization,Dating Sim,Relaxing,Agriculture,Adventure,Crafting,Simulation,Singleplayer,Magic,Fantasy,Combat,Mining,Exploration,Fishing,Cooking,+"
Starship Troopers: Extermination,"Action,Online Co-Op,Sci-fi,First-Person,FPS,Combat,Co-op,Multiplayer,Arcade,Aliens,Wargame,PvE,Space,Shooter,Base Building,Arena Shooter,Class-Based,Early Access,3D,Realistic,+"
Call to Arms,"Strategy,Military,Action,Multiplayer,RTS,War,Shooter,Tactical,Simulation,First-Person,Real-Time,Singleplayer,FPS,Modern,Co-op,Realistic,Sandbox,Third Person,Indie,Early Access,+"
Gunfire Reborn,"Roguelite,FPS,Online Co-Op,Co-op,Roguelike,Multiplayer,Looter Shooter,Indie,Action,Adventure,RPG,Shooter,Action Roguelike,First-Person,Dungeon Crawler,Replay Value,Early Access,Singleplayer,Fast-Paced,Loot,+"
Mars Horizon,"Management,Space,Strategy,Education,Mars,Space Sim,Science,Choices Matter,Historical,Building,Alternate History,Exploration,Turn-Based,Simulation,Stylized,Logic,Singleplayer,Immersive Sim,Resource Management,Physics,+"
No Man's Sky,"Open World,Open World Survival Craft,Space,Exploration,Sci-fi,Survival,Procedural Generation,Adventure,First-Person,Sandbox,Singleplayer,Multiplayer,Atmospheric,Crafting,Space Sim,Indie,Action,Simulation,FPS,VR,+"
Hero Siege,"RPG,Action Roguelike,Hack and Slash,Pixel Graphics,Roguelike,Multiplayer,Indie,Action,Co-op,Adventure,Local Co-Op,2D,Roguelite,Top-Down,Action RPG,Massively Multiplayer,Bullet Hell,Singleplayer,Difficult,Controller,+"
"YEAH! YOU WANT ""THOSE GAMES,"" RIGHT? SO HERE YOU GO! NOW, LET'S SEE YOU CLEAR THEM!","Casual,Puzzle,Puzzle Platformer,Cute,Funny,Comedy,Parody,Relaxing,2D,3D,Solitaire,Runner,Loot,Family Friendly,Education,Controller,Score Attack,Tutorial,Physics,Singleplayer,+"
Subnautica,"Open World Survival Craft,Survival,Open World,Horror,Exploration,Underwater,Crafting,Base Building,Singleplayer,Adventure,First-Person,Sci-fi,Sandbox,Aliens,Atmospheric,Survival Horror,Multiplayer,Action,Indie,Early Access,+"
Terminator: Resistance,"FPS,Post-apocalyptic,Choices Matter,Open World,Sci-fi,RPG,First-Person,Robots,Story Rich,Multiple Endings,Action,Singleplayer,Atmospheric,Futuristic,Crafting,Adventure,Violent,Shooter,Great Soundtrack,Cinematic,+"
Derail Valley,"Early Access,Simulation,Trains,VR,Realistic,Transportation,Driving,Open World,First-Person,Immersive Sim,Physics,Economy,Resource Management,Indie,Singleplayer,Replay Value,Adventure,Procedural Generation,Sandbox,Relaxing,+"
Gloria Victis: Medieval MMORPG,"MMORPG,Open World,Medieval,Massively Multiplayer,Action,RPG,Multiplayer,Character Customization,Simulation,Indie,PvP,Immersive Sim,Atmospheric,Open World Survival Craft,Adventure,Crafting,Realistic,Survival,Swordplay,Sandbox,+"
Killing Floor,"FPS,Zombies,Co-op,Survival,Horror,Action,Multiplayer,Online Co-Op,Gore,Shooter,Team-Based,First-Person,Survival Horror,Moddable,Great Soundtrack,Class-Based,Singleplayer,Difficult,Comedy,Adventure,+"
Pummel Party,"Multiplayer,Funny,Online Co-Op,4 Player Local,Board Game,Party Game,Casual,Local Multiplayer,Co-op,Minigames,Party,Local Co-Op,Action,Indie,Comedy,Tabletop,Controller,Gore,Colorful,Singleplayer,+"
3on3 FreeStyle: Rebound,"Free to Play,Sports,Basketball,Multiplayer,Action,Casual,Controller,Online Co-Op,PvP,Team-Based,Co-op,Competitive,Real-Time,eSports,3D,Cartoony,Modern,Character Customization,Massively Multiplayer,Cinematic,+"
Maneater: Truth Quest,"Adventure,Action,RPG,Indie,Gore,Violent,+"
Foxhole,"Massively Multiplayer,Wargame,Military,Base Building,World War II,Open World,War,Sandbox,Top-Down,PvP,Tactical,Top-Down Shooter,Multiplayer,Team-Based,Strategy,Crafting,Shooter,Co-op,Action,RPG,+"
X4: Foundations,"Sandbox,Space Sim,Economy,Trading,Building,Exploration,Space,Grand Strategy,Management,First-Person,Strategy,Simulation,Sci-fi,Singleplayer,Open World,Action,Flight,Atmospheric,Crafting,Survival,+"
Euro Truck Simulator 2 - Italia,"Simulation,Driving,Indie,Open World,Multiplayer,Realistic,Singleplayer,Relaxing,Free to Play,Adventure,Action,Exploration,Moddable,First-Person,+"
RimWorld - Ideology,"Strategy,Indie,Simulation,Colony Sim,Base Building,Survival,Moddable,Psychological Horror,Management,+"
Airport CEO,"Flight,Resource Management,Moddable,Singleplayer,Simulation,Management,Immersive Sim,Building,Automation,Strategy,Sandbox,Realistic,Capitalism,2D,Top-Down,Economy,Transportation,City Builder,Base Building,Logic,+"
Farming Simulator 19,"Simulation,Farming Sim,Multiplayer,Agriculture,Realistic,Open World,Driving,Singleplayer,Management,Automobile Sim,Moddable,Co-op,Resource Management,Relaxing,First-Person,Online Co-Op,Economy,Family Friendly,Atmospheric,Strategy,+"
TerraTech,"Building,Sandbox,Open World,Open World Survival Craft,Multiplayer,Robots,Crafting,Action,Survival,Adventure,Singleplayer,Exploration,Strategy,Early Access,Indie,Physics,Third Person,Shooter,Co-op,Sci-fi,+"
The Jackbox Party Pack 3,"Trivia,Local Multiplayer,Multiplayer,Casual,Funny,Board Game,Party,Party Game,Indie,Comedy,Family Friendly,Strategy,Co-op,Memes,+"
Stationeers,"Early Access,Space,Base Building,Science,Colony Sim,Sci-fi,Survival,Automation,Building,Physics,Open World Survival Craft,Agriculture,Management,Sandbox,Multiplayer,Co-op,Crafting,Open World,Mining,Mars,+"
Yu-Gi-Oh! Master Duel,"Card Game,Free to Play,Strategy,Trading Card Game,PvP,Multiplayer,Card Battler,Anime,Simulation,Turn-Based Tactics,Tactical,eSports,Survival Horror,Singleplayer,Fantasy,Dragons,PvE,3D,2D,Great Soundtrack,+"
TOKYO GHOUL:re [CALL to EXIST],"Action,Anime,Gore,Violent,Character Customization,Singleplayer,Multiplayer,Hentai,Sexual Content,Hack and Slash,Co-op,Horror,Adventure,JRPG,+"
Euro Truck Simulator 2 - Scandinavia,"Simulation,Driving,Realistic,Open World,Multiplayer,Singleplayer,Moddable,Atmospheric,Relaxing,Indie,Casual,Adventure,First-Person,Exploration,Economy,Great Soundtrack,Online Co-Op,Management,Free to Play,TrackIR,+"
Bloodhound,"Action,Shooter,FPS,3D,Dark,Gore,Singleplayer,PvE,Demons,Horror,Indie,Retro,Fast-Paced,Action-Adventure,Adventure,Violent,Atmospheric,Blood,Difficult,First-Person,+"
Stormworks: Build and Rescue,"Sandbox,Open World,Building,Flight,Exploration,Sailing,Programming,Open World Survival Craft,Survival,Immersive Sim,Base Building,Character Customization,Trains,PvP,Physics,Naval,First-Person,Tutorial,Automation,Crafting,+"
Super Bunny Man,"Multiplayer,Funny,Co-op,Physics,Comedy,Puzzle Platformer,Casual,Online Co-Op,Party,Colorful,Local Co-Op,Action,Puzzle,Cartoon,Local Multiplayer,Adventure,Memes,Singleplayer,4 Player Local,Sandbox,+"
Don't Starve,"Survival,Open World Survival Craft,Crafting,Adventure,Indie,Sandbox,Singleplayer,Perma Death,Open World,Exploration,Multiplayer,Roguelike,Replay Value,Moddable,Difficult,Simulation,2D,Top-Down,Survival Horror,Horror,+"
Atlas Fallen,"Action,Adventure,Action RPG,Action-Adventure,Exploration,3D,Cinematic,Demons,Fantasy,Online Co-Op,Loot,Magic,Mystery,Supernatural,Singleplayer,Combat,Female Protagonist,Narration,Story Rich,RPG,+"
Movavi Video Editor 2023,"Design & Illustration,Video Production,Education,Web Publishing,Software Training,Animation & Modeling,Audio Production,Utilities,Software,Family Friendly,Beautiful,Soundtrack,+"
Ember Knights,"Action Roguelike,Roguelite,Pixel Graphics,Dungeon Crawler,Hack and Slash,Adventure,RPG,Multiplayer,Co-op,Online Co-Op,Action,Singleplayer,2D,Local Co-Op,Roguelike,Local Multiplayer,Top-Down,Procedural Generation,Combat,Choices Matter,+"
They Are Billions,"Base Building,Colony Sim,Strategy,Zombies,Survival,RTS,Tower Defense,City Builder,Steampunk,Building,Post-apocalyptic,Singleplayer,Resource Management,Real-Time with Pause,Difficult,Tactical,Management,Indie,Early Access,Isometric,+"
Warspear Online,"Free to Play,MMORPG,Pixel Graphics,Massively Multiplayer,RPG,Multiplayer,Online Co-Op,Difficult,Retro,Fantasy,Atmospheric,PvP,2D,Adventure,Story Rich,Open World,+"
Pathfinder: Wrath of the Righteous - Enhanced Edition,"Party-Based RPG,Class-Based,Difficult,Violent,Choose Your Own Adventure,Exploration,Open World,Stylized,RPG,Atmospheric,CRPG,Turn-Based Combat,Story Rich,Fantasy,Character Customization,Isometric,Choices Matter,Dark Fantasy,Dragons,Medieval,+"
Zup! S,"Puzzle,Casual,Indie,2D,Physics,Relaxing,Singleplayer,Minimalist,Short,Fast-Paced,Cute,Trading Card Game,Strategy,Logic,Psychological Horror,Difficult,Action,Education,Horror,Beautiful,+"
TEKKEN 7,"Fighting,Action,Multiplayer,Competitive,Arcade,Local Multiplayer,Controller,Great Soundtrack,Singleplayer,3D Fighter,eSports,Sports,Character Customization,Difficult,Anime,Beat 'em up,Story Rich,Third Person,2D Fighter,Atmospheric,+"
X-Plane 12,"Simulation,Flight,Action-Adventure,Immersive Sim,3D,3D Vision,Realistic,First-Person,VR,Atmospheric,Jet,Military,Relaxing,Choices Matter,Controller,Moddable,Open World,Physics,Tutorial,Co-op,+"
Brewmaster: Beer Brewing Simulator,"Simulation,Crafting,Sandbox,Relaxing,First-Person,Education,Realistic,Singleplayer,Economy,Physics,Management,Immersive Sim,Indie,Cooking,Replay Value,Cozy,Wholesome,Casual,Controller,3D,+"
Arcadegeddon,"Roguelite,Action,Third-Person Shooter,Looter Shooter,Adventure,Action Roguelike,Arcade,Shooter,Colorful,Cyberpunk,Futuristic,Retro,PvP,PvE,Online Co-Op,Multiplayer,Singleplayer,Indie,Replay Value,Party Game,+"
Crysis 2 Remastered,"Action,Sandbox,Shooter,FPS,Hero Shooter,First-Person,Shoot 'Em Up,Aliens,Dark Humor,Futuristic,Dystopian,Post-apocalyptic,Sci-fi,Tactical,Combat,Singleplayer,PvE,Violent,+"
Homeseek,"Multiplayer,City Builder,Colony Sim,Simulation,Survival,Strategy,Base Building,Dystopian,PvP,Post-apocalyptic,Time Management,Singleplayer,3D,Story Rich,Resource Management,Management,Indie,Choices Matter,Unforgiving,Real-Time,+"
One Military Camp,"Management,Base Building,City Builder,Resource Management,Simulation,Sandbox,Economy,Building,Strategy,Colony Sim,Time Management,Strategy RPG,Character Customization,Funny,Life Sim,Stylized,Isometric,Class-Based,Indie,Real Time Tactics,+"
My Summer Car,"Automobile Sim,Simulation,Driving,Open World,Survival,Realistic,Building,First-Person,Racing,Singleplayer,Early Access,Funny,Sandbox,Difficult,Perma Death,Comedy,Indie,Adventure,Puzzle,Memes,+"
